Timestamp,ID,X,Y,Z,Dist_From_Center
01:45:49.761,drone_1,-2980.0000,-2980.0000,150.0000,4217.0250
01:45:49.811,drone_1,-2975.0000,-2975.0000,150.0000,4209.9584
01:45:49.861,drone_1,-2970.0000,-2970.0000,150.0000,4202.8919
01:45:49.912,drone_1,-2965.0000,-2965.0000,150.0000,4195.8253
01:45:49.962,drone_1,-2960.0000,-2960.0000,150.0000,4188.7588
01:45:50.012,drone_1,-2955.0000,-2955.0000,150.0000,4181.6922
01:45:50.062,drone_1,-2950.0000,-2950.0000,150.0000,4174.6257
01:45:50.112,drone_1,-2945.0000,-2945.0000,150.0000,4167.5592
01:45:50.162,drone_1,-2940.0000,-2940.0000,150.0000,4160.4928
01:45:50.212,drone_1,-2935.0000,-2935.0000,150.0000,4153.4263
01:45:50.262,drone_1,-2930.0000,-2930.0000,150.0000,4146.3598
01:45:50.312,drone_1,-2925.0000,-2925.0000,150.0000,4139.2934
01:45:50.362,drone_1,-2920.0000,-2920.0000,150.0000,4132.2270
01:45:50.412,drone_1,-2915.0000,-2915.0000,150.0000,4125.1606
01:45:50.463,drone_1,-2910.0000,-2910.0000,150.0000,4118.0942
01:45:50.513,drone_1,-2905.0000,-2905.0000,150.0000,4111.0279
01:45:50.563,drone_1,-2900.0000,-2900.0000,150.0000,4103.9615
01:45:50.613,drone_1,-2895.0000,-2895.0000,150.0000,4096.8952
01:45:50.663,drone_1,-2890.0000,-2890.0000,150.0000,4089.8288
01:45:50.713,drone_1,-2885.0000,-2885.0000,150.0000,4082.7625
01:45:50.763,drone_1,-2880.0000,-2880.0000,150.0000,4075.6963
01:45:50.813,drone_1,-2875.0000,-2875.0000,150.0000,4068.6300
01:45:50.864,drone_1,-2870.0000,-2870.0000,150.0000,4061.5637
01:45:50.914,drone_1,-2865.0000,-2865.0000,150.0000,4054.4975
01:45:50.964,drone_1,-2860.0000,-2860.0000,150.0000,4047.4313
01:45:51.014,drone_1,-2855.0000,-2855.0000,150.0000,4040.3651
01:45:51.064,drone_1,-2850.0000,-2850.0000,150.0000,4033.2989
01:45:51.115,drone_1,-2845.0000,-2845.0000,150.0000,4026.2327
01:45:51.165,drone_1,-2840.0000,-2840.0000,150.0000,4019.1666
01:45:51.215,drone_1,-2835.0000,-2835.0000,150.0000,4012.1004
01:45:51.265,drone_1,-2830.0000,-2830.0000,150.0000,4005.0343
01:45:51.315,drone_1,-2825.0000,-2825.0000,150.0000,3997.9682
01:45:51.365,drone_1,-2820.0000,-2820.0000,150.0000,3990.9022
01:45:51.416,drone_1,-2815.0000,-2815.0000,150.0000,3983.8361
01:45:51.466,drone_1,-2810.0000,-2810.0000,150.0000,3976.7700
01:45:51.516,drone_1,-2805.0000,-2805.0000,150.0000,3969.7040
01:45:51.566,drone_1,-2800.0000,-2800.0000,150.0000,3962.6380
01:45:51.616,drone_1,-2795.0000,-2795.0000,150.0000,3955.5720
01:45:51.666,drone_1,-2790.0000,-2790.0000,150.0000,3948.5060
01:45:51.716,drone_1,-2785.0000,-2785.0000,150.0000,3941.4401
01:45:51.767,drone_1,-2780.0000,-2780.0000,150.0000,3934.3742
01:45:51.817,drone_1,-2775.0000,-2775.0000,150.0000,3927.3082
01:45:51.867,drone_1,-2770.0000,-2770.0000,150.0000,3920.2423
01:45:51.917,drone_1,-2765.0000,-2765.0000,150.0000,3913.1765
01:45:51.967,drone_1,-2760.0000,-2760.0000,150.0000,3906.1106
01:45:52.017,drone_1,-2755.0000,-2755.0000,150.0000,3899.0448
01:45:52.068,drone_1,-2750.0000,-2750.0000,150.0000,3891.9789
01:45:52.118,drone_1,-2745.0000,-2745.0000,150.0000,3884.9131
01:45:52.168,drone_1,-2740.0000,-2740.0000,150.0000,3877.8473
01:45:52.219,drone_1,-2735.0000,-2735.0000,150.0000,3870.7816
01:45:52.269,drone_1,-2730.0000,-2730.0000,150.0000,3863.7158
01:45:52.319,drone_1,-2725.0000,-2725.0000,150.0000,3856.6501
01:45:52.369,drone_1,-2720.0000,-2720.0000,150.0000,3849.5844
01:45:52.419,drone_1,-2715.0000,-2715.0000,150.0000,3842.5187
01:45:52.469,drone_1,-2710.0000,-2710.0000,150.0000,3835.4530
01:45:52.520,drone_1,-2705.0000,-2705.0000,150.0000,3828.3874
01:45:52.570,drone_1,-2700.0000,-2700.0000,150.0000,3821.3218
01:45:52.620,drone_1,-2695.0000,-2695.0000,150.0000,3814.2562
01:45:52.670,drone_1,-2690.0000,-2690.0000,150.0000,3807.1906
01:45:52.720,drone_1,-2685.0000,-2685.0000,150.0000,3800.1250
01:45:52.770,drone_1,-2680.0000,-2680.0000,150.0000,3793.0595
01:45:52.820,drone_1,-2675.0000,-2675.0000,150.0000,3785.9939
01:45:52.871,drone_1,-2670.0000,-2670.0000,150.0000,3778.9284
01:45:52.921,drone_1,-2665.0000,-2665.0000,150.0000,3771.8629
01:45:52.971,drone_1,-2660.0000,-2660.0000,150.0000,3764.7975
01:45:53.021,drone_1,-2655.0000,-2655.0000,150.0000,3757.7320
01:45:53.071,drone_1,-2650.0000,-2650.0000,150.0000,3750.6666
01:45:53.121,drone_1,-2645.0000,-2645.0000,150.0000,3743.6012
01:45:53.171,drone_1,-2640.0000,-2640.0000,150.0000,3736.5358
01:45:53.221,drone_1,-2635.0000,-2635.0000,150.0000,3729.4705
01:45:53.271,drone_1,-2630.0000,-2630.0000,150.0000,3722.4051
01:45:53.321,drone_1,-2625.0000,-2625.0000,150.0000,3715.3398
01:45:53.371,drone_1,-2620.0000,-2620.0000,150.0000,3708.2745
01:45:53.422,drone_1,-2615.0000,-2615.0000,150.0000,3701.2093
01:45:53.472,drone_1,-2610.0000,-2610.0000,150.0000,3694.1440
01:45:53.522,drone_1,-2605.0000,-2605.0000,150.0000,3687.0788
01:45:53.572,drone_1,-2600.0000,-2600.0000,150.0000,3680.0136
01:45:53.622,drone_1,-2595.0000,-2595.0000,150.0000,3672.9484
01:45:53.672,drone_1,-2590.0000,-2590.0000,150.0000,3665.8832
01:45:53.722,drone_1,-2585.0000,-2585.0000,150.0000,3658.8181
01:45:53.772,drone_1,-2580.0000,-2580.0000,150.0000,3651.7530
01:45:53.822,drone_1,-2575.0000,-2575.0000,150.0000,3644.6879
01:45:53.873,drone_1,-2570.0000,-2570.0000,150.0000,3637.6229
01:45:53.923,drone_1,-2565.0000,-2565.0000,150.0000,3630.5578
01:45:53.973,drone_1,-2560.0000,-2560.0000,150.0000,3623.4928
01:45:54.023,drone_1,-2555.0000,-2555.0000,150.0000,3616.4278
01:45:54.074,drone_1,-2550.0000,-2550.0000,150.0000,3609.3628
01:45:54.124,drone_1,-2545.0000,-2545.0000,150.0000,3602.2979
01:45:54.174,drone_1,-2540.0000,-2540.0000,150.0000,3595.2330
01:45:54.224,drone_1,-2535.0000,-2535.0000,150.0000,3588.1681
01:45:54.274,drone_1,-2530.0000,-2530.0000,150.0000,3581.1032
01:45:54.325,drone_1,-2525.0000,-2525.0000,150.0000,3574.0383
01:45:54.375,drone_1,-2520.0000,-2520.0000,150.0000,3566.9735
01:45:54.425,drone_1,-2515.0000,-2515.0000,150.0000,3559.9087
01:45:54.475,drone_1,-2510.0000,-2510.0000,150.0000,3552.8439
01:45:54.525,drone_1,-2505.0000,-2505.0000,150.0000,3545.7792
01:45:54.575,drone_1,-2500.0000,-2500.0000,150.0000,3538.7145
